donor_id,wealth_rating,property_value_estimate,estimated_income_band,philanthropic_capacity_score,screening_date,data_source
4916,B,616953,"£75,000-£150,000",69,2024-03-05,External Screening
3195,C,322855,"£40,000-£75,000",51,2024-04-18,External Screening
1420,C,383159,"£40,000-£75,000",64,2024-01-02,External Screening
2034,B,449336,"£75,000-£150,000",62,2024-02-26,External Screening
1306,D,224997,"£25,000-£40,000",38,2024-02-01,External Screening
4545,E,54090,"<£25,000",14,2024-06-15,External Screening
5208,C,362334,"£40,000-£75,000",59,2024-04-07,External Screening
6690,D,191507,"£25,000-£40,000",37,2024-03-28,External Screening
2615,D,204490,"£25,000-£40,000",43,2024-04-08,External Screening
2314,E,125824,"<£25,000",19,2024-04-07,External Screening
5187,D,204012,"£25,000-£40,000",29,2024-06-07,External Screening
4629,D,224985,"£25,000-£40,000",35,2024-01-19,External Screening
7217,C,391436,"£40,000-£75,000",65,2024-06-08,External Screening
3186,D,210943,"£25,000-£40,000",29,2024-04-24,External Screening
7119,E,62672,"<£25,000",21,2024-02-27,External Screening
6090,C,272501,"£40,000-£75,000",47,2024-02-22,External Screening
7427,A,1645745,"£150,000+",90,2024-05-08,External Screening
4340,B,731594,"£75,000-£150,000",64,2024-01-17,External Screening
1406,A,950164,"£150,000+",97,2024-02-04,External Screening
1242,C,280840,"£40,000-£75,000",40,2024-03-10,External Screening
6687,B,606252,"£75,000-£150,000",82,2024-05-17,External Screening
6287,D,188197,"£25,000-£40,000",43,2024-05-20,External Screening
2357,C,348833,"£40,000-£75,000",61,2024-05-25,External Screening
3770,C,314534,"£40,000-£75,000",50,2024-02-10,External Screening
1820,C,307849,"£40,000-£75,000",59,2024-05-23,External Screening
7356,B,502496,"£75,000-£150,000",60,2024-03-27,External Screening
6391,D,233565,"£25,000-£40,000",40,2024-02-22,External Screening
4490,C,323901,"£40,000-£75,000",65,2024-02-18,External Screening
4564,C,300950,"£40,000-£75,000",47,2024-03-26,External Screening
4388,B,420391,"£75,000-£150,000",60,2024-04-12,External Screening
4208,D,163620,"£25,000-£40,000",25,2024-03-01,External Screening
4184,D,150280,"£25,000-£40,000",42,2024-02-28,External Screening
1915,C,356718,"£40,000-£75,000",46,2024-06-12,External Screening
6868,D,219542,"£25,000-£40,000",32,2024-06-03,External Screening
1914,D,216441,"£25,000-£40,000",37,2024-05-16,External Screening
3436,D,182734,"£25,000-£40,000",35,2024-03-06,External Screening
2388,C,290498,"£40,000-£75,000",55,2024-01-01,External Screening
4249,C,281992,"£40,000-£75,000",50,2024-01-20,External Screening
4414,C,314918,"£40,000-£75,000",57,2024-03-13,External Screening
3943,D,243025,"£25,000-£40,000",30,2024-05-18,External Screening
5310,D,180370,"£25,000-£40,000",37,2024-05-27,External Screening
6337,B,542091,"£75,000-£150,000",85,2024-01-01,External Screening
1355,D,198986,"£25,000-£40,000",34,2024-02-18,External Screening
4424,E,112662,"<£25,000",22,2024-01-03,External Screening
7336,C,307397,"£40,000-£75,000",46,2024-03-26,External Screening
5735,D,201746,"£25,000-£40,000",33,2024-03-05,External Screening
1622,D,164992,"£25,000-£40,000",38,2024-03-09,External Screening
2025,D,214945,"£25,000-£40,000",40,2024-05-24,External Screening
1954,B,599022,"£75,000-£150,000",71,2024-03-28,External Screening
2641,C,283941,"£40,000-£75,000",58,2024-03-19,External Screening
5341,D,158702,"£25,000-£40,000",42,2024-04-23,External Screening
6894,D,170234,"£25,000-£40,000",27,2024-02-10,External Screening
4309,B,472039,"£75,000-£150,000",65,2024-03-15,External Screening
7066,B,530657,"£75,000-£150,000",66,2024-05-23,External Screening
6468,D,158541,"£25,000-£40,000",37,2024-01-28,External Screening
2196,D,160043,"£25,000-£40,000",28,2024-02-05,External Screening
4723,D,249093,"£25,000-£40,000",34,2024-01-25,External Screening
5476,D,197824,"£25,000-£40,000",39,2024-02-21,External Screening
4119,B,649765,"£75,000-£150,000",71,2024-06-19,External Screening
5779,D,161852,"£25,000-£40,000",29,2024-03-04,External Screening
2207,D,179713,"£25,000-£40,000",36,2024-06-18,External Screening
3787,E,83770,"<£25,000",17,2024-04-07,External Screening
2728,E,119915,"<£25,000",18,2024-01-22,External Screening
5070,D,174244,"£25,000-£40,000",26,2024-05-16,External Screening
5961,B,646921,"£75,000-£150,000",66,2024-04-07,External Screening
6908,A,1273417,"£150,000+",88,2024-02-09,External Screening
1424,A,1876649,"£150,000+",89,2024-04-26,External Screening
6950,A,1866633,"£150,000+",98,2024-03-10,External Screening
4133,E,122509,"<£25,000",22,2024-06-06,External Screening
3337,D,238923,"£25,000-£40,000",36,2024-01-27,External Screening
5556,D,176107,"£25,000-£40,000",40,2024-04-18,External Screening
3670,D,215363,"£25,000-£40,000",43,2024-06-28,External Screening
1793,C,320380,"£40,000-£75,000",43,2024-06-02,External Screening
4997,C,271711,"£40,000-£75,000",42,2024-01-09,External Screening
2169,D,231089,"£25,000-£40,000",27,2024-06-14,External Screening
5655,C,345422,"£40,000-£75,000",55,2024-04-04,External Screening
5681,D,240546,"£25,000-£40,000",32,2024-04-07,External Screening
3593,D,225127,"£25,000-£40,000",36,2024-06-08,External Screening
6234,B,611237,"£75,000-£150,000",69,2024-06-09,External Screening
4595,E,131684,"<£25,000",16,2024-02-03,External Screening
5285,C,270266,"£40,000-£75,000",43,2024-04-13,External Screening
4334,C,274170,"£40,000-£75,000",58,2024-01-14,External Screening
4570,C,297056,"£40,000-£75,000",62,2024-05-22,External Screening
2958,D,162490,"£25,000-£40,000",31,2024-04-16,External Screening
2584,C,329968,"£40,000-£75,000",62,2024-05-13,External Screening
1784,E,83299,"<£25,000",14,2024-05-27,External Screening
2753,C,273821,"£40,000-£75,000",42,2024-06-24,External Screening
1550,D,203276,"£25,000-£40,000",38,2024-06-10,External Screening
6082,D,202110,"£25,000-£40,000",31,2024-03-22,External Screening
2897,D,238282,"£25,000-£40,000",25,2024-03-14,External Screening
6931,C,347197,"£40,000-£75,000",64,2024-06-03,External Screening
1593,D,194560,"£25,000-£40,000",26,2024-01-04,External Screening
1230,D,163256,"£25,000-£40,000",29,2024-01-03,External Screening
5977,D,160439,"£25,000-£40,000",44,2024-04-17,External Screening
4958,C,269263,"£40,000-£75,000",52,2024-01-08,External Screening
6334,D,189392,"£25,000-£40,000",40,2024-01-15,External Screening
3191,D,219422,"£25,000-£40,000",30,2024-03-22,External Screening
1743,C,251646,"£40,000-£75,000",54,2024-06-22,External Screening
2760,C,273810,"£40,000-£75,000",57,2024-05-23,External Screening
5684,E,108427,"<£25,000",13,2024-04-17,External Screening
1937,C,366009,"£40,000-£75,000",45,2024-06-08,External Screening
7467,C,352935,"£40,000-£75,000",62,2024-06-25,External Screening
1919,D,194855,"£25,000-£40,000",25,2024-03-01,External Screening
2842,D,223170,"£25,000-£40,000",33,2024-01-13,External Screening
4842,D,209685,"£25,000-£40,000",34,2024-03-19,External Screening
4123,C,306561,"£40,000-£75,000",55,2024-04-14,External Screening
4982,A,808420,"£150,000+",87,2024-01-05,External Screening
5898,C,357546,"£40,000-£75,000",45,2024-03-07,External Screening
6216,C,310659,"£40,000-£75,000",45,2024-02-17,External Screening
6630,B,584473,"£75,000-£150,000",83,2024-03-20,External Screening
1834,C,326155,"£40,000-£75,000",56,2024-04-12,External Screening
4347,B,474862,"£75,000-£150,000",81,2024-02-12,External Screening
1679,C,313809,"£40,000-£75,000",52,2024-06-18,External Screening
7244,C,383504,"£40,000-£75,000",63,2024-06-12,External Screening
4425,C,381230,"£40,000-£75,000",42,2024-05-25,External Screening
5248,C,335141,"£40,000-£75,000",57,2024-03-06,External Screening
3788,C,289704,"£40,000-£75,000",44,2024-04-17,External Screening
5725,C,374116,"£40,000-£75,000",53,2024-02-24,External Screening
3536,C,292654,"£40,000-£75,000",53,2024-03-27,External Screening
3772,C,381381,"£40,000-£75,000",47,2024-04-26,External Screening
4837,C,391223,"£40,000-£75,000",60,2024-06-19,External Screening
4983,C,299470,"£40,000-£75,000",60,2024-06-05,External Screening
1912,C,287801,"£40,000-£75,000",53,2024-01-03,External Screening
1812,D,249529,"£25,000-£40,000",44,2024-04-19,External Screening
4858,D,166691,"£25,000-£40,000",32,2024-02-17,External Screening
1877,C,328835,"£40,000-£75,000",53,2024-02-17,External Screening
3296,E,59028,"<£25,000",13,2024-04-15,External Screening
6692,B,664257,"£75,000-£150,000",75,2024-05-05,External Screening
3520,B,595776,"£75,000-£150,000",62,2024-04-05,External Screening
7301,C,351535,"£40,000-£75,000",40,2024-05-05,External Screening
1694,E,128327,"<£25,000",17,2024-02-20,External Screening
3989,B,485306,"£75,000-£150,000",81,2024-05-06,External Screening
6548,B,708979,"£75,000-£150,000",76,2024-01-07,External Screening
1466,C,342711,"£40,000-£75,000",61,2024-06-18,External Screening
6867,E,71894,"<£25,000",10,2024-06-05,External Screening
2305,B,658767,"£75,000-£150,000",71,2024-04-11,External Screening
1219,C,390994,"£40,000-£75,000",63,2024-03-13,External Screening
1498,D,154665,"£25,000-£40,000",44,2024-05-13,External Screening
6042,C,283536,"£40,000-£75,000",40,2024-03-20,External Screening
3303,C,312478,"£40,000-£75,000",63,2024-01-11,External Screening
3036,E,60854,"<£25,000",18,2024-04-12,External Screening
3617,D,184916,"£25,000-£40,000",28,2024-06-26,External Screening
4224,D,238228,"£25,000-£40,000",32,2024-04-03,External Screening
5166,C,377889,"£40,000-£75,000",57,2024-06-24,External Screening
1891,E,73167,"<£25,000",28,2024-04-04,External Screening
3831,E,73685,"<£25,000",24,2024-01-08,External Screening
4784,D,182589,"£25,000-£40,000",33,2024-03-20,External Screening
3703,C,267873,"£40,000-£75,000",59,2024-01-16,External Screening
1917,D,234003,"£25,000-£40,000",39,2024-03-14,External Screening
2839,C,261729,"£40,000-£75,000",46,2024-04-07,External Screening
5853,A,1776269,"£150,000+",96,2024-05-13,External Screening
4326,A,954993,"£150,000+",78,2024-05-22,External Screening
2205,B,645968,"£75,000-£150,000",76,2024-03-05,External Screening
3725,E,86267,"<£25,000",13,2024-01-04,External Screening
5201,C,393319,"£40,000-£75,000",48,2024-06-11,External Screening
7054,C,287168,"£40,000-£75,000",41,2024-04-28,External Screening
6885,C,381131,"£40,000-£75,000",43,2024-03-27,External Screening
6811,C,268375,"£40,000-£75,000",52,2024-06-21,External Screening
6761,E,85487,"<£25,000",27,2024-03-24,External Screening
5883,C,300072,"£40,000-£75,000",46,2024-04-27,External Screening
2959,C,272374,"£40,000-£75,000",64,2024-02-28,External Screening
3084,D,194799,"£25,000-£40,000",38,2024-05-18,External Screening
6523,C,279942,"£40,000-£75,000",44,2024-06-24,External Screening
4268,C,364932,"£40,000-£75,000",54,2024-04-06,External Screening
1613,E,82849,"<£25,000",21,2024-05-13,External Screening
7018,E,105105,"<£25,000",25,2024-02-28,External Screening
4504,E,109104,"<£25,000",21,2024-01-20,External Screening
2865,D,228891,"£25,000-£40,000",35,2024-06-26,External Screening
1124,C,255406,"£40,000-£75,000",55,2024-06-22,External Screening
1025,D,170032,"£25,000-£40,000",35,2024-05-22,External Screening
5756,D,163250,"£25,000-£40,000",41,2024-05-10,External Screening
4258,D,219675,"£25,000-£40,000",43,2024-06-01,External Screening
6094,D,168681,"£25,000-£40,000",43,2024-03-12,External Screening
6859,C,362819,"£40,000-£75,000",65,2024-02-25,External Screening
7200,E,112144,"<£25,000",25,2024-01-12,External Screening
7405,D,185660,"£25,000-£40,000",30,2024-03-11,External Screening
2486,A,1958814,"£150,000+",91,2024-06-01,External Screening
4939,B,725785,"£75,000-£150,000",66,2024-02-01,External Screening
1749,D,246436,"£25,000-£40,000",39,2024-04-28,External Screening
4193,C,262552,"£40,000-£75,000",63,2024-05-12,External Screening
2841,C,364942,"£40,000-£75,000",64,2024-02-23,External Screening
7002,C,280772,"£40,000-£75,000",56,2024-06-25,External Screening
2555,D,239310,"£25,000-£40,000",41,2024-06-13,External Screening
5682,D,213587,"£25,000-£40,000",29,2024-04-16,External Screening
2569,C,326478,"£40,000-£75,000",49,2024-05-25,External Screening
2992,C,265909,"£40,000-£75,000",61,2024-01-21,External Screening
5297,C,319244,"£40,000-£75,000",64,2024-04-10,External Screening
4972,D,205633,"£25,000-£40,000",33,2024-05-03,External Screening
7158,C,386213,"£40,000-£75,000",63,2024-01-22,External Screening
6101,E,132637,"<£25,000",24,2024-06-19,External Screening
2432,C,374382,"£40,000-£75,000",56,2024-04-06,External Screening
6041,B,581490,"£75,000-£150,000",82,2024-02-24,External Screening
4431,D,204042,"£25,000-£40,000",42,2024-05-13,External Screening
1952,E,110120,"<£25,000",14,2024-05-11,External Screening
4653,C,333822,"£40,000-£75,000",45,2024-06-19,External Screening
4749,A,950245,"£150,000+",86,2024-05-07,External Screening
7450,E,70089,"<£25,000",23,2024-06-24,External Screening
1229,C,302778,"£40,000-£75,000",52,2024-01-16,External Screening
6841,C,347302,"£40,000-£75,000",51,2024-01-26,External Screening
4967,E,97853,"<£25,000",27,2024-01-20,External Screening
7396,B,619741,"£75,000-£150,000",81,2024-02-19,External Screening
6920,B,457375,"£75,000-£150,000",84,2024-04-12,External Screening
5027,C,382298,"£40,000-£75,000",50,2024-03-09,External Screening
1881,D,245527,"£25,000-£40,000",44,2024-05-04,External Screening
1610,D,153444,"£25,000-£40,000",35,2024-02-07,External Screening
7029,C,287305,"£40,000-£75,000",40,2024-03-26,External Screening
2429,C,347462,"£40,000-£75,000",52,2024-06-22,External Screening
6577,C,279701,"£40,000-£75,000",42,2024-05-27,External Screening
1205,D,210752,"£25,000-£40,000",30,2024-01-20,External Screening
7052,C,286498,"£40,000-£75,000",51,2024-06-11,External Screening
1522,C,268514,"£40,000-£75,000",62,2024-06-08,External Screening
1733,D,194519,"£25,000-£40,000",45,2024-01-26,External Screening
3384,C,358467,"£40,000-£75,000",50,2024-02-07,External Screening
5943,C,339330,"£40,000-£75,000",57,2024-03-20,External Screening
2311,B,418635,"£75,000-£150,000",80,2024-02-13,External Screening
5972,D,211241,"£25,000-£40,000",39,2024-02-07,External Screening
7335,C,397398,"£40,000-£75,000",50,2024-04-16,External Screening
2257,D,187955,"£25,000-£40,000",33,2024-03-26,External Screening
1617,C,350639,"£40,000-£75,000",64,2024-04-21,External Screening
1854,B,714456,"£75,000-£150,000",73,2024-02-24,External Screening
1932,C,323073,"£40,000-£75,000",49,2024-01-10,External Screening
1753,C,250645,"£40,000-£75,000",42,2024-05-13,External Screening
6049,C,378296,"£40,000-£75,000",59,2024-01-01,External Screening
1165,C,386673,"£40,000-£75,000",43,2024-06-26,External Screening
6872,D,238233,"£25,000-£40,000",29,2024-01-13,External Screening
6877,C,333887,"£40,000-£75,000",55,2024-05-27,External Screening
3955,D,152523,"£25,000-£40,000",44,2024-04-04,External Screening
2642,C,317378,"£40,000-£75,000",51,2024-03-01,External Screening
1276,B,634902,"£75,000-£150,000",84,2024-05-23,External Screening
4587,D,202138,"£25,000-£40,000",28,2024-02-10,External Screening
2048,D,231611,"£25,000-£40,000",38,2024-02-09,External Screening
6201,C,277949,"£40,000-£75,000",57,2024-03-02,External Screening
2543,C,344957,"£40,000-£75,000",58,2024-06-25,External Screening
4111,B,571463,"£75,000-£150,000",73,2024-02-10,External Screening
1692,B,710545,"£75,000-£150,000",74,2024-06-21,External Screening
6217,B,671909,"£75,000-£150,000",75,2024-01-06,External Screening
4845,D,229682,"£25,000-£40,000",43,2024-01-22,External Screening
1995,C,299071,"£40,000-£75,000",55,2024-06-26,External Screening
1959,B,498685,"£75,000-£150,000",84,2024-05-21,External Screening
2436,D,197396,"£25,000-£40,000",33,2024-04-12,External Screening
7409,E,100043,"<£25,000",25,2024-04-13,External Screening
3201,B,629476,"£75,000-£150,000",76,2024-03-23,External Screening
6370,D,218912,"£25,000-£40,000",37,2024-01-19,External Screening
3568,D,244429,"£25,000-£40,000",30,2024-03-05,External Screening
4458,C,396995,"£40,000-£75,000",60,2024-01-06,External Screening
5005,D,186034,"£25,000-£40,000",37,2024-04-04,External Screening
4322,A,1381381,"£150,000+",93,2024-01-21,External Screening
5378,B,513354,"£75,000-£150,000",62,2024-01-04,External Screening
3734,B,576797,"£75,000-£150,000",60,2024-06-03,External Screening
2331,D,232771,"£25,000-£40,000",32,2024-06-03,External Screening
3234,C,381121,"£40,000-£75,000",59,2024-03-28,External Screening
5235,C,362304,"£40,000-£75,000",64,2024-03-16,External Screening
4218,D,173452,"£25,000-£40,000",40,2024-05-20,External Screening
4450,B,538145,"£75,000-£150,000",84,2024-04-12,External Screening
2033,D,191363,"£25,000-£40,000",45,2024-04-14,External Screening
1108,A,1906350,"£150,000+",97,2024-04-16,External Screening
7476,B,650565,"£75,000-£150,000",71,2024-04-07,External Screening
6282,C,331824,"£40,000-£75,000",42,2024-06-25,External Screening
3134,B,477824,"£75,000-£150,000",62,2024-01-12,External Screening
6384,D,212954,"£25,000-£40,000",31,2024-01-11,External Screening
6522,A,1366989,"£150,000+",96,2024-05-25,External Screening
5390,C,261280,"£40,000-£75,000",41,2024-03-17,External Screening
3627,C,304051,"£40,000-£75,000",58,2024-01-22,External Screening
7281,D,156719,"£25,000-£40,000",34,2024-01-22,External Screening
1092,C,268651,"£40,000-£75,000",55,2024-05-18,External Screening
5913,E,84687,"<£25,000",12,2024-05-06,External Screening
2585,D,226185,"£25,000-£40,000",43,2024-01-12,External Screening
7493,D,165671,"£25,000-£40,000",33,2024-04-04,External Screening
2660,A,1965943,"£150,000+",79,2024-04-21,External Screening
5981,E,87898,"<£25,000",10,2024-02-08,External Screening
1596,B,781823,"£75,000-£150,000",83,2024-02-04,External Screening
2846,C,268411,"£40,000-£75,000",58,2024-01-18,External Screening
1445,D,237452,"£25,000-£40,000",36,2024-02-18,External Screening
4343,B,794105,"£75,000-£150,000",71,2024-03-25,External Screening
2047,C,385392,"£40,000-£75,000",47,2024-03-19,External Screening
2356,C,292774,"£40,000-£75,000",41,2024-01-23,External Screening
5103,C,342107,"£40,000-£75,000",47,2024-06-07,External Screening
5452,D,151176,"£25,000-£40,000",39,2024-06-11,External Screening
1508,E,109628,"<£25,000",17,2024-03-17,External Screening
4583,D,247748,"£25,000-£40,000",42,2024-06-19,External Screening
2989,C,364148,"£40,000-£75,000",44,2024-01-16,External Screening
3780,B,667275,"£75,000-£150,000",65,2024-05-26,External Screening
3265,E,121395,"<£25,000",21,2024-05-20,External Screening
5254,C,367659,"£40,000-£75,000",59,2024-04-13,External Screening
5510,B,547374,"£75,000-£150,000",79,2024-03-17,External Screening
7218,C,354494,"£40,000-£75,000",64,2024-06-12,External Screening
2239,C,250855,"£40,000-£75,000",45,2024-03-26,External Screening
5383,C,278244,"£40,000-£75,000",49,2024-02-15,External Screening
3485,C,335613,"£40,000-£75,000",40,2024-04-07,External Screening
5119,D,198690,"£25,000-£40,000",31,2024-01-15,External Screening
2739,D,162440,"£25,000-£40,000",33,2024-03-02,External Screening
2282,C,386605,"£40,000-£75,000",49,2024-05-23,External Screening
1864,D,209043,"£25,000-£40,000",38,2024-01-20,External Screening
1715,C,261464,"£40,000-£75,000",61,2024-01-07,External Screening
7316,D,203104,"£25,000-£40,000",37,2024-04-06,External Screening
4418,E,101298,"<£25,000",27,2024-03-25,External Screening
1130,C,356442,"£40,000-£75,000",58,2024-06-27,External Screening
2118,D,159401,"£25,000-£40,000",42,2024-04-06,External Screening
4390,D,222282,"£25,000-£40,000",32,2024-04-19,External Screening
1841,D,154795,"£25,000-£40,000",43,2024-04-28,External Screening
5048,E,53751,"<£25,000",10,2024-03-07,External Screening
5497,B,479744,"£75,000-£150,000",60,2024-04-12,External Screening
3123,D,205940,"£25,000-£40,000",29,2024-04-25,External Screening
1167,C,358982,"£40,000-£75,000",55,2024-01-04,External Screening
4300,A,1921310,"£150,000+",89,2024-03-06,External Screening
7096,C,385821,"£40,000-£75,000",45,2024-05-10,External Screening
7499,C,364720,"£40,000-£75,000",62,2024-01-17,External Screening
3450,D,163401,"£25,000-£40,000",40,2024-04-08,External Screening
1452,C,376805,"£40,000-£75,000",58,2024-03-10,External Screening
4829,D,178843,"£25,000-£40,000",28,2024-02-02,External Screening
6961,D,230358,"£25,000-£40,000",29,2024-05-15,External Screening
5850,A,1768173,"£150,000+",96,2024-02-15,External Screening
2021,C,345267,"£40,000-£75,000",64,2024-06-09,External Screening
6159,D,246057,"£25,000-£40,000",32,2024-01-22,External Screening
5750,C,394696,"£40,000-£75,000",60,2024-04-06,External Screening
3843,C,302026,"£40,000-£75,000",45,2024-02-14,External Screening
1810,C,345862,"£40,000-£75,000",41,2024-02-20,External Screening
4725,C,390233,"£40,000-£75,000",40,2024-01-20,External Screening
6106,D,210188,"£25,000-£40,000",34,2024-01-26,External Screening
7014,B,715997,"£75,000-£150,000",77,2024-01-07,External Screening
4050,C,338877,"£40,000-£75,000",57,2024-04-23,External Screening
1499,D,222753,"£25,000-£40,000",33,2024-03-08,External Screening
6987,A,1179222,"£150,000+",91,2024-02-20,External Screening
3782,D,223372,"£25,000-£40,000",29,2024-01-08,External Screening
6306,E,77629,"<£25,000",21,2024-05-02,External Screening
2703,D,154524,"£25,000-£40,000",39,2024-06-02,External Screening
1892,D,217123,"£25,000-£40,000",40,2024-02-06,External Screening
5562,A,1766558,"£150,000+",99,2024-05-19,External Screening
2472,D,222732,"£25,000-£40,000",41,2024-06-06,External Screening
3460,C,389541,"£40,000-£75,000",50,2024-05-25,External Screening
4126,C,294040,"£40,000-£75,000",44,2024-06-25,External Screening
1399,D,241011,"£25,000-£40,000",29,2024-01-14,External Screening
2364,D,228665,"£25,000-£40,000",30,2024-02-22,External Screening
6447,D,241940,"£25,000-£40,000",35,2024-06-26,External Screening
3252,B,673701,"£75,000-£150,000",78,2024-01-04,External Screening
4058,C,354686,"£40,000-£75,000",51,2024-06-24,External Screening
5936,E,149054,"<£25,000",29,2024-04-09,External Screening
4604,B,682364,"£75,000-£150,000",75,2024-02-08,External Screening
2054,D,153490,"£25,000-£40,000",42,2024-01-10,External Screening
5191,E,134039,"<£25,000",28,2024-02-20,External Screening
3962,C,312743,"£40,000-£75,000",45,2024-05-04,External Screening
5212,A,996895,"£150,000+",81,2024-03-17,External Screening
7233,D,192070,"£25,000-£40,000",27,2024-05-20,External Screening
4514,C,360252,"£40,000-£75,000",40,2024-01-28,External Screening
5370,D,206679,"£25,000-£40,000",26,2024-01-21,External Screening
6213,C,261452,"£40,000-£75,000",45,2024-05-18,External Screening
4232,C,382427,"£40,000-£75,000",41,2024-04-21,External Screening
6109,B,648325,"£75,000-£150,000",80,2024-03-08,External Screening
2505,D,214453,"£25,000-£40,000",30,2024-03-06,External Screening
5785,C,350782,"£40,000-£75,000",62,2024-03-25,External Screening
2765,D,180035,"£25,000-£40,000",42,2024-06-09,External Screening
1597,E,67213,"<£25,000",16,2024-04-16,External Screening
2125,D,205968,"£25,000-£40,000",25,2024-02-19,External Screening
1484,B,451957,"£75,000-£150,000",83,2024-05-03,External Screening
4315,E,94331,"<£25,000",28,2024-03-02,External Screening
1873,C,255621,"£40,000-£75,000",60,2024-03-18,External Screening
2955,E,79096,"<£25,000",22,2024-06-14,External Screening
2026,C,325515,"£40,000-£75,000",48,2024-02-21,External Screening
3061,C,357589,"£40,000-£75,000",62,2024-06-13,External Screening
2734,B,400990,"£75,000-£150,000",66,2024-06-19,External Screening
2878,D,225268,"£25,000-£40,000",39,2024-05-01,External Screening
6754,D,206188,"£25,000-£40,000",41,2024-03-16,External Screening
4869,D,173879,"£25,000-£40,000",29,2024-02-06,External Screening
